INDEX,EMPRESA,CATEGORIA,DESCRIPCION,MONTO,FECHA
0,BELGRANO SUR,INVERSION,MATERIAL RODANTE,3045747.3518,2019-10-01
1,BELGRANO SUR,INVERSION,SENALES Y TELECOMUNICACIONES,62216.2309,2019-10-01
2,BELGRANO SUR,INVERSION,VIAS Y OBRAS,23548476.5167,2019-10-01
3,BELGRANO SUR,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-10-01
4,BELGRANO SUR,OPERACION,COMBUSTIBLES Y ENERGIA,21032904.99,2019-10-01
5,BELGRANO SUR,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,11113389.43,2019-10-01
6,BELGRANO SUR,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,6477898.13,2019-10-01
7,BELGRANO SUR,OPERACION,LIMPIEZA,1439537.08,2019-10-01
8,BELGRANO SUR,OPERACION,LOGISTICA DE RECAUDACION,3886358.59,2019-10-01
9,BELGRANO SUR,OPERACION,SEGURIDAD,13565147.15,2019-10-01
10,BELGRANO SUR,OPERACION,SEGUROS,0.0,2019-10-01
11,BELGRANO SUR,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1460340.14,2019-10-01
12,BELGRANO SUR,PERSONAL,PERSONAL,236794992.29,2019-10-01
13,MITRE,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-10-01
14,MITRE,INVERSION,MATERIAL RODANTE,6534983.7618,2019-10-01
15,MITRE,INVERSION,SENALES Y TELECOMUNICACIONES,135411.1795,2019-10-01
16,MITRE,INVERSION,VIAS Y OBRAS,29435589.6725,2019-10-01
17,MITRE,OPERACION,COMBUSTIBLES Y ENERGIA,10371399.04,2019-10-01
18,MITRE,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,10829692.37,2019-10-01
19,MITRE,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,18765942.0,2019-10-01
20,MITRE,OPERACION,LIMPIEZA,10193523.64,2019-10-01
21,MITRE,OPERACION,LOGISTICA DE RECAUDACION,5903666.44,2019-10-01
22,MITRE,OPERACION,SEGURIDAD,36504522.42,2019-10-01
23,MITRE,OPERACION,SEGUROS,0.0,2019-10-01
24,MITRE,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2355922.19,2019-10-01
25,MITRE,PERSONAL,PERSONAL,525931929.73,2019-10-01
26,ROCA,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-10-01
27,ROCA,INVERSION,MATERIAL RODANTE,40143658.553,2019-10-01
28,ROCA,INVERSION,SENALES Y TELECOMUNICACIONES,432862.655,2019-10-01
29,ROCA,INVERSION,VIAS Y OBRAS,76160105.0748,2019-10-01
30,ROCA,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,19032593.5,2019-10-01
31,ROCA,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,18490064.97,2019-10-01
32,ROCA,OPERACION,LIMPIEZA,2745630.93,2019-10-01
33,ROCA,OPERACION,LOGISTICA DE RECAUDACION,12432032.3,2019-10-01
34,ROCA,OPERACION,SEGURIDAD,24059616.21,2019-10-01
35,ROCA,OPERACION,SEGUROS,0.0,2019-10-01
36,ROCA,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2452903.48,2019-10-01
37,ROCA,OPERACION,COMBUSTIBLES Y ENERGIA,61235660.79,2019-10-01
38,ROCA,PERSONAL,PERSONAL,755053186.22,2019-10-01
39,SAN MARTIN,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-10-01
40,SAN MARTIN,INVERSION,MATERIAL RODANTE,73041052.7288,2019-10-01
41,SAN MARTIN,INVERSION,SENALES Y TELECOMUNICACIONES,42782.2579,2019-10-01
42,SAN MARTIN,INVERSION,VIAS Y OBRAS,15508996.83,2019-10-01
43,SAN MARTIN,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,12232990.16,2019-10-01
44,SAN MARTIN,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,9018818.0,2019-10-01
45,SAN MARTIN,OPERACION,LIMPIEZA,977498.77,2019-10-01
46,SAN MARTIN,OPERACION,LOGISTICA DE RECAUDACION,4024040.28,2019-10-01
47,SAN MARTIN,OPERACION,SEGURIDAD,48326296.03,2019-10-01
48,SAN MARTIN,OPERACION,SEGUROS,0.0,2019-10-01
49,SAN MARTIN,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2168619.55,2019-10-01
50,SAN MARTIN,OPERACION,COMBUSTIBLES Y ENERGIA,36188053.71,2019-10-01
51,SAN MARTIN,PERSONAL,PERSONAL,329274879.24,2019-10-01
52,SARMIENTO,INVERSION,MATERIAL RODANTE,11268465.7302,2019-10-01
53,SARMIENTO,INVERSION,SENALES Y TELECOMUNICACIONES,86697.0972,2019-10-01
54,SARMIENTO,INVERSION,VIAS Y OBRAS,35495362.2063,2019-10-01
55,SARMIENTO,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-10-01
56,SARMIENTO,OPERACION,COMBUSTIBLES Y ENERGIA,7824916.67,2019-10-01
57,SARMIENTO,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,13076708.8,2019-10-01
58,SARMIENTO,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,16061789.32,2019-10-01
59,SARMIENTO,OPERACION,LIMPIEZA,5706507.38,2019-10-01
60,SARMIENTO,OPERACION,LOGISTICA DE RECAUDACION,2139363.67,2019-10-01
61,SARMIENTO,OPERACION,SEGURIDAD,37898275.45,2019-10-01
62,SARMIENTO,OPERACION,SEGUROS,0.0,2019-10-01
63,SARMIENTO,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1735755.46,2019-10-01
64,SARMIENTO,PERSONAL,PERSONAL,402574130.55,2019-10-01
65,BELGRANO SUR,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-09-01
66,BELGRANO SUR,INVERSION,MATERIAL RODANTE,2951982.7097,2019-09-01
67,BELGRANO SUR,INVERSION,SENALES Y TELECOMUNICACIONES,743901.58,2019-09-01
68,BELGRANO SUR,INVERSION,VIAS Y OBRAS,16721489.8433,2019-09-01
69,BELGRANO SUR,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,3875479.07,2019-09-01
70,BELGRANO SUR,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,6554122.55,2019-09-01
71,BELGRANO SUR,OPERACION,LIMPIEZA,2478165.35,2019-09-01
72,BELGRANO SUR,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-09-01
73,BELGRANO SUR,OPERACION,SEGURIDAD,3489031.57,2019-09-01
74,BELGRANO SUR,OPERACION,SEGUROS,146858.26,2019-09-01
75,BELGRANO SUR,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,856590.13,2019-09-01
76,BELGRANO SUR,OPERACION,COMBUSTIBLES Y ENERGIA,24096079.92,2019-09-01
