INDEX,FECHA,LINEA,TIPOPASAJE,TOTAL
0,2019-09-01,BELGRANO SUR,NORMAL,1085813
1,2019-09-01,BELGRANO SUR,ATRIBUTO SOCIAL,493588
2,2019-09-01,MITRE,ATRIBUTO SOCIAL,14982
3,2019-09-01,MITRE,NORMAL,36648
4,2019-09-01,MITRE,ATRIBUTO SOCIAL,1525
5,2019-09-01,MITRE,NORMAL,2918
6,2019-09-01,MITRE,ATRIBUTO SOCIAL,482187
7,2019-09-01,MITRE,NORMAL,1919575
8,2019-09-01,MITRE,ATRIBUTO SOCIAL,620272
9,2019-09-01,MITRE,NORMAL,2463562
10,2019-09-01,MITRE,NORMAL,3743
11,2019-09-01,MITRE,ATRIBUTO SOCIAL,1219
12,2019-09-01,SARMIENTO,ATRIBUTO SOCIAL,2421892
13,2019-09-01,SARMIENTO,NORMAL,5677971
14,2019-09-01,SARMIENTO,NORMAL,2283
15,2019-09-01,SARMIENTO,ATRIBUTO SOCIAL,767
16,2019-09-01,SARMIENTO,NORMAL,94030
17,2019-09-01,SARMIENTO,ATRIBUTO SOCIAL,38237
18,2019-08-01,BELGRANO SUR,ATRIBUTO SOCIAL,488680
19,2019-08-01,BELGRANO SUR,NORMAL,1089481
20,2019-08-01,MITRE,ATRIBUTO SOCIAL,14035
21,2019-08-01,MITRE,NORMAL,35661
22,2019-08-01,MITRE,NORMAL,977
23,2019-08-01,MITRE,ATRIBUTO SOCIAL,462
24,2019-08-01,MITRE,NORMAL,1942129
25,2019-08-01,MITRE,ATRIBUTO SOCIAL,491099
26,2019-08-01,MITRE,NORMAL,2399349
27,2019-08-01,MITRE,ATRIBUTO SOCIAL,604423
28,2019-08-01,MITRE,NORMAL,3564
29,2019-08-01,MITRE,ATRIBUTO SOCIAL,1206
30,2019-08-01,SARMIENTO,ATRIBUTO SOCIAL,2430880
31,2019-08-01,SARMIENTO,NORMAL,5677471
32,2019-08-01,SARMIENTO,NORMAL,2631
33,2019-08-01,SARMIENTO,ATRIBUTO SOCIAL,958
34,2019-08-01,SARMIENTO,NORMAL,90336
35,2019-08-01,SARMIENTO,ATRIBUTO SOCIAL,36014
36,2019-07-01,BELGRANO SUR,ATRIBUTO SOCIAL,472616
37,2019-07-01,BELGRANO SUR,NORMAL,1048251
38,2019-07-01,MITRE,ATRIBUTO SOCIAL,14433
39,2019-07-01,MITRE,NORMAL,39573
40,2019-07-01,MITRE,NORMAL,125
41,2019-07-01,MITRE,ATRIBUTO SOCIAL,72
42,2019-07-01,MITRE,NORMAL,1842793
43,2019-07-01,MITRE,ATRIBUTO SOCIAL,472675
44,2019-07-01,MITRE,NORMAL,2308599
45,2019-07-01,MITRE,ATRIBUTO SOCIAL,584132
46,2019-07-01,MITRE,NORMAL,4226
47,2019-07-01,MITRE,ATRIBUTO SOCIAL,1446
48,2019-07-01,SARMIENTO,ATRIBUTO SOCIAL,2380468
