INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
0,ZUVIRIA FACUNDO AV.,8309,SANTA FE,SF,AGE. DE LOTE,-60.69836,-31.589840000000002
1,ZUVIRIA FACUNDO AV.,4810,SANTA FE,SF,KIOSCO,-60.705169999999995,-31.6224
2,ZUVIRIA FACUNDO AV.,5562,SANTA FE,SF,LIBRERIA,-60.70524,-31.61522
3,ZUVIRIA FACUNDO AV.,5716,SANTA FE,SF,LIBRERIA,-60.7051,-31.613979999999998
4,ZUVIRIA F.,1896,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.57116,-34.74525
5,ZUVIRIA B.,5029,JOSE CLEMENTE PAZ,BA,KIOSCO,-58.75147,-34.51939
6,ZUVIRIA B.,5100,JOSE CLEMENTE PAZ,BA,LOCUTORIO,-58.75096,-34.51959
7,ZUVIRIA B.,1293,SAN MIGUEL,BA,ALMACEN/AUTOSERV,-58.71406999999999,-34.5498
8,ZUVIRIA B.,1659,SAN MIGUEL,BA,KIOSCO,-58.71816,-34.5466
9,ZUVIRIA B.,1986,SAN MIGUEL,BA,KIOSCO,-58.721940000000004,-34.54365
10,ZUVIRIA,5429,VILLA LUGANO,CF,AGE. DE LOTE,-58.48319,-34.66638
11,ZUVIRIA,0,VILLA LUGANO,CF,KIOSCO,-58.49106,-34.673970000000004
12,ZUVIRIA,6134,VILLA LUGANO,CF,KIOSCO,-58.48891999999999,-34.671479999999995
13,ZUVIRIA,0000,VILLA LUGANO,CF,KIOSCO,-58.49126,-34.67237
14,ZUVIRIA,6500,VILLA LUGANO,CF,OTROS,-58.49171,-34.6742
15,ZURITA,101,SAN SALVADOR DE JUJUY,JU,ALMACEN/AUTOSERV,-65.2826,-24.203
16,ZURITA,295,SAN SALVADOR DE JUJUY,JU,KIOSCO,-65.28084,-24.20195
17,ZUFRIATEGUI R.,6268,GONZALEZ CATAN,BA,KIOSCO,-58.61243,-34.768
18,ZUFRIATEGUI R.,4805,GREGORIO DE LAFERRERE,BA,ALMACEN/AUTOSERV,-58.60227,-34.758520000000004
19,ZUFRIATEGUI CNEL PABLO,679,ITUZAINGO,BA,KIOSCO,-58.66449,-34.657759999999996
20,ZUFRIATEGUI CNEL PABLO,980,ITUZAINGO,BA,KIOSCO,-58.66859,-34.65934
21,ZORRILLA BENJAMIN DR.,2828,CASTELAR,BA,KIOSCO,-58.65476999999999,-34.69498
22,ZOLARZANA ROCHA,950,SAN SALVADOR DE JUJUY,JU,ALMACEN/AUTOSERV,-65.28896,-24.199279999999998
23,ZOLARZANA ROCHA,950,SAN SALVADOR DE JUJUY,JU,OTROS,-65.28876,-24.20042
24,ZOLARZANA ROCHA,950,SAN SALVADOR DE JUJUY,JU,OTROS,-65.28898000000001,-24.200110000000002
25,ZOLA EMILIO,4090,EZPELETA ESTE,BA,KIOSCO,-58.22877,-34.735209999999995
26,ZOLA EMILIO,1625,QUILMES,BA,AGE. DE LOTE,-58.23105,-34.73292
27,ZOLA EMILIO,1482,QUILMES,BA,KIOSCO,-58.23299,-34.730129999999996
28,ZOLA,20,MERLO,BA,KIOSCO,-58.745580000000004,-34.6694
29,ZINNY A.,5301,GONZALEZ CATAN,BA,OTROS,-58.62634,-34.74507
30,ZINNY A.,2195,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.60179,-34.72418
31,ZEPPELIN,5309,GONZALEZ CATAN,BA,KIOSCO,-58.62002,-34.75022
