INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
0,ZUVIRIA FACUNDO AV.,4810,SANTA FE,SF,KIOSCO,-60.705169999999995,-31.6224
1,ZUVIRIA,5429,VILLA LUGANO,CF,AGE. DE LOTE,-58.48319,-34.66638
2,ZOLA EMILIO,1625,QUILMES,BA,AGE. DE LOTE,-58.23105,-34.73292
3,ZENTA,1031,SAN SALVADOR DE JUJUY,JU,SUPERMERCADO,-65.27831,-24.19374
4,ZELARRAYAN,2688,BAHIA BLANCA,BA,AGE. DE LOTE,-62.29403000000001,-38.69469
5,ZELARRAYAN,416,BAHIA BLANCA,BA,AGE. DE LOTE,-62.26936,-38.71342
6,ZELARRAYAN,2560,BAHIA BLANCA,BA,COMERCIO,-62.29266,-38.695890000000006
7,ZELARRAYAN,399,BAHIA BLANCA,BA,KIOSCO,-62.26999,-38.71277
8,ZEBALLOS ESTANISLAO DR.,123,MORENO,BA,AGE. DE LOTE,-58.7939,-34.65061
9,ZEBALLOS ESTANISLAO,7500,JOSE LEON SUAREZ,BA,KIOSCO,-58.58671999999999,-34.54195
10,ZEBALLOS E.,402,PILAR,BA,AGE. DE LOTE,-58.923759999999994,-34.45617
11,ZARATE,3879,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.603269999999995,-34.72826
12,ZARATE,5325,VILLA BALLESTER,BA,OTROS,-58.570859999999996,-34.55596
13,ZAPIOLA N.GRAL.,564,PASO DEL REY,BA,AGE. DE LOTE,-58.737880000000004,-34.63885
14,ZAPIOLA,2085,BELGRANO,CF,AGE. DE LOTE,-58.46321999999999,-34.566140000000004
15,ZAPIOLA,1397,BERNAL OESTE,BA,AGE. DE LOTE,-58.30315,-34.72591
16,ZAPIOLA,852,BERNAL OESTE,BA,AGE. DE LOTE,-58.29156999999999,-34.7204
17,ZAPIOLA,1892,SAN JUSTO,BA,AGE. DE LOTE,-58.561809999999994,-34.67
18,ZAPATA JOSE V AV.,201,BARRIO CIVICO (MENDOZA),MZ,KIOSCO,-68.8305,-32.896809999999995
19,ZANNI P. AV.,1575,PARANA,ER,KIOSCO,-60.49915,-31.76513
20,ZANNI CORONEL,2689,GODOY CRUZ,MZ,ALMACEN/AUTOSERV,-68.87139,-32.91885
21,ZACARIAS,3050,RESISTENCIA,CH,KIOSCO,-59.03215,-27.4588
22,ZABALA,1603,BELGRANO,CF,AGE. DE LOTE,-58.442,-34.5631
23,YUTO,996,SAN SALVADOR DE JUJUY,JU,ALMACEN/AUTOSERV,-65.26867,-24.24328
24,YRUPE,6782,MATADEROS,CF,AGE. DE LOTE,-58.497730000000004,-34.66791
25,YRIGOYEN HIPOLITO PTE. (SO),2558,EL TALAR,BA,AGE. DE LOTE,-58.66,-34.4747
26,YRIGOYEN HIPOLITO PTE. (SO),1682,EL TALAR,BA,AGE. DE LOTE,-58.645019999999995,-34.46627
27,YRIGOYEN HIPOLITO PTE. (SO),2500,EL TALAR,BA,KIOSCO,-58.65928,-34.47385
28,YRIGOYEN HIPOLITO PTE.,4086,FLORIDA,BA,AGE. DE LOTE,-58.516890000000004,-34.53648
29,YRIGOYEN HIPOLITO PTE.,3991,FLORIDA OESTE,BA,KIOSCO,-58.51546,-34.5356
30,YRIGOYEN HIPOLITO PTE.,690,GENERAL PACHECO,BA,AGE. DE LOTE,-58.630919999999996,-34.4587
31,YRIGOYEN HIPOLITO PTE.,855,GENERAL PACHECO,BA,AGE. DE LOTE,-58.63409,-34.459959999999995
32,YRIGOYEN HIPOLITO PTE.,305,GENERAL PACHECO,BA,AGE. DE LOTE,-58.62719,-34.45624
33,YRIGOYEN HIPOLITO PTE.,781,GENERAL PACHECO,BA,AGE. DE LOTE,-58.63305,-34.45937
