INDEX,LINEA,ESTACION,TOTAL,FECHA
0,ROCA,WILDE,8016,2017-05-01
1,SAN MARTIN,LA PATERNAL,41845,2017-05-01
2,MITRE,OLIVOS,74947,2017-05-01
3,SAN MARTIN,JOSE C PAZ,500842,2017-05-01
4,SAN MARTIN,HURLINGHAM,132123,2017-05-01
5,MITRE,PUEYRREDON,40861,2017-05-01
6,MITRE,RETIRO (SUA-MIT),602436,2017-05-01
7,SAN MARTIN,MUNIZ,91022,2017-05-01
8,SAN MARTIN,EL PALOMAR,127009,2017-05-01
9,SAN MARTIN,DEVOTO,151947,2017-05-01
10,SAN MARTIN,DERQUI,110120,2017-05-01
11,MITRE,RIVADAVIA,61680,2017-05-01
12,ROCA,CALZADA,133380,2017-05-01
13,MITRE,SAAVEDRA,25933,2017-05-01
14,SAN MARTIN,CHACARITA,200390,2017-05-01
15,MITRE,RETIRO (TIGRE),815150,2017-05-01
16,ROCA,CANUELAS,6611,2017-05-01
17,SAN MARTIN,PALERMO,355376,2017-05-01
18,ROCA,MAXIMO PAZ,4314,2017-05-01
19,MITRE,MALAVER,2564,2017-05-01
20,MITRE,MARTINEZ,178859,2017-05-01
21,ROCA,LLAVALLOL,74890,2017-05-01
22,SAN MARTIN,WILLIAM MORRIS,75243,2017-05-01
23,SAN MARTIN,VILLA DEL PARQUE,159105,2017-05-01
24,ROCA,LONGCHAMPS,422244,2017-05-01
25,MITRE,MITRE,52950,2017-05-01
26,ROCA,SPEGAZZINI,4170,2017-05-01
27,SAN MARTIN,SOL Y VERDE,51177,2017-05-01
28,SAN MARTIN,SANTOS LUGARES,39717,2017-05-01
29,SAN MARTIN,SAN MIGUEL,379213,2017-05-01
30,SAN MARTIN,SAENZ PENA,113332,2017-05-01
31,SAN MARTIN,RETIRO,528712,2017-05-01
32,SAN MARTIN,PILAR,135288,2017-05-01
33,MITRE,NUNEZ,93578,2017-05-01
34,MITRE,SAN ANDRES,10262,2017-05-01
35,ROCA,LANUS,779454,2017-05-01
36,SAN MARTIN,CASEROS,213733,2017-05-01
37,SAN MARTIN,BELLA VISTA,149685,2017-05-01
38,MITRE,VICTORIA ELECT,74873,2017-05-01
39,ROCA,BERAZATEGUI,37345,2017-05-01
40,MITRE,VIRREYES,115820,2017-05-01
41,ROCA,SAN JUSTO,183,2017-05-01
42,ROCA,TURDERA,88987,2017-05-01
43,ROCA,SANTA SOFIA,6379,2017-05-01
44,ROCA,V. CASARES,379,2017-05-01
45,ROCA,TRISTAN SUAREZ,2801,2017-05-01
46,ROCA,TOLOSA,57,2017-05-01
47,ROCA,BANFIELD,533055,2017-05-01
48,ROCA,A.KORN,183090,2017-05-01
49,ROCA,SARANDI,12377,2017-05-01
50,ROCA,TEMPERLEY,233434,2017-05-01
51,ROCA,ADROGUE,277643,2017-05-01
52,ROCA,A. PETION,1455,2017-05-01
53,ROCA,V. DOMINICO,3489,2017-05-01
54,MITRE,VICENTE LOPEZ,77916,2017-05-01
55,ROCA,RINGUELET,93,2017-05-01
56,MITRE,SAN FERNANDO,81670,2017-05-01
57,MITRE,SAN ISIDRO,303140,2017-05-01
58,ROCA,BURZACO,488300,2017-05-01
59,ROCA,ZEBALLOS,22549,2017-05-01
60,ROCA,YRIGOYEN,83951,2017-05-01
61,MITRE,SAN MARTIN,185457,2017-05-01
62,ROCA,BOSQUES,5673,2017-05-01
63,ROCA,F. VARELA,57687,2017-05-01
64,MITRE,TIGRE,281583,2017-05-01
65,MITRE,URQUIZA,184591,2017-05-01
66,ROCA,PLATANOS,6832,2017-05-01
67,ROCA,QUILMES,35451,2017-05-01
68,MITRE,V. BALLESTER,122333,2017-05-01
69,ROCA,VILLA ELISA,3887,2017-05-01
70,ROCA,BERNAL,9165,2017-05-01
71,ROCA,MONTE GRANDE,398411,2017-05-01
72,ROCA,CITY BELL,11272,2017-05-01
73,SAN MARTIN,VILLA ASTOLFI,14159,2017-05-01
74,ROCA,HAEDO,575,2017-05-01
75,SARMIENTO,CABALLITO,457,2017-05-01
76,MITRE,CARRANZA,161563,2017-05-01
77,SARMIENTO,LINIERS,64384,2017-05-01
78,MITRE,CARUPA,122340,2017-05-01
79,ROCA,GUTIERREZ,5046,2017-05-01
80,ROCA,EL JAGUEL,164063,2017-05-01
81,ROCA,GUERNICA,100806,2017-05-01
82,MITRE,CENTRANGOLO,15832,2017-05-01
83,SARMIENTO,MORON,128772,2017-05-01
84,MITRE,COGHLAN,15471,2017-05-01
85,SARMIENTO,ONCE,1253288,2017-05-01
86,ROCA,HUDSON,530,2017-05-01
87,ROCA,DON BOSCO,2315,2017-05-01
88,MITRE,COLEGIALES,26728,2017-05-01
89,MITRE,CHILAVERT,33799,2017-05-01
90,SARMIENTO,PASO DEL REY,846037,2017-05-01
91,ROCA,ESCALADA,114982,2017-05-01
92,MITRE,BELGRANO R.,155479,2017-05-01
93,MITRE,3 DE FEBRERO,20861,2017-05-01
94,SARMIENTO,FLORES,133015,2017-05-01
95,ROCA,EZPELETA,27863,2017-05-01
96,ROCA,GERLI,117018,2017-05-01
97,SARMIENTO,FLORESTA,196975,2017-05-01
98,MITRE,ACASSUSO,20294,2017-05-01
99,SARMIENTO,ITUZAINGO,201252,2017-05-01
100,ROCA,EZEIZA,448090,2017-05-01
101,MITRE,BECCAR,71257,2017-05-01
102,MITRE,BELGRANO C.,371638,2017-05-01
103,ROCA,GLEW,594647,2017-05-01
104,SARMIENTO,HAEDO,344723,2017-05-01
105,ROCA,GONNET,231,2017-05-01
106,SARMIENTO,CASTELAR,782838,2017-05-01
107,SARMIENTO,CIUDADELA,14091,2017-05-01
108,ROCA,J. MARMOL,70933,2017-05-01
109,ROCA,ARDIGO,50972,2017-05-01
110,ROCA,CONSTITUCION,3309393,2017-05-01
111,SARMIENTO,S.A. DE PADUA,190795,2017-05-01
112,MITRE,L. DE LA TORRE,62278,2017-05-01
113,MITRE,FLORIDA,15855,2017-05-01
114,MITRE,JOSE LEON SUAREZ,205224,2017-05-01
115,MITRE,LA LUCILA,61515,2017-05-01
116,MITRE,JUAN B. JUSTO,2392,2017-05-01
117,ROCA,DARIO Y MAXI,218384,2017-05-01
118,ROCA,L. DE ZAMORA,900488,2017-05-01
119,ROCA,LA PLATA,1849,2017-05-01
120,SARMIENTO,VILLA LURO,116788,2017-05-01
121,ROCA,CLAYPOLE,310578,2017-05-01
122,ROCA,L. GUILLON,117456,2017-05-01
123,MITRE,DRAGO,28806,2017-05-01
124,SARMIENTO,RAMOS MEJIA,137735,2017-05-01
125,BELGRANO SUR,LIBERTAD,20442,2018-01-01
126,SAN MARTIN,MANZANARES,3275,2018-01-01
127,ROCA,TOLOSA,2450,2018-01-01
128,ROCA,TEMPERLEY,220960,2018-01-01
129,BELGRANO SUR,CASTILLO,27244,2018-01-01
130,ROCA,V. DOMINICO,23707,2018-01-01
131,ROCA,RINGUELET,151,2018-01-01
132,ROCA,RANELAGH,10123,2018-01-01
133,BELGRANO SUR,M. BELGRANO,36728,2018-01-01
134,SAN MARTIN,ASTOLFI,20642,2018-01-01
135,ROCA,QUILMES,267089,2018-01-01
136,SAN MARTIN,MUNIZ,63295,2018-01-01
137,ROCA,PLATANOS,36497,2018-01-01
138,BELGRANO SUR,CASTELLO,38806,2018-01-01
139,BELGRANO SUR,MENDEVILLE,7807,2018-01-01
140,BELGRANO SUR,CARAZA,1,2018-01-01
141,SAN MARTIN,PALERMO,105913,2018-01-01
142,ROCA,TURDERA,80509,2018-01-01
143,BELGRANO SUR,MERLO GOMEZ,20046,2018-01-01
144,ROCA,V. CASARES,438,2018-01-01
145,SAN MARTIN,PALOMAR,83612,2018-01-01
146,ROCA,PEREYRA,144,2018-01-01
147,BELGRANO SUR,BUENOS AIRES,132023,2018-01-01
148,BELGRANO SUR,PUENTE ALSINA,1,2018-01-01
149,BELGRANO SUR,QUERANDI,14847,2018-01-01
150,ROCA,TRISTAN SUAREZ,17602,2018-01-01
151,SAN MARTIN,J.C. PAZ,503972,2018-01-01
152,SARMIENTO,VILLA LURO,109364,2018-01-01
153,BELGRANO SUR,LAFERRERE,191408,2018-01-01
154,ROCA,STA. CATALINA,3,2018-01-01
155,ROCA,TABLADA,46,2018-01-01
156,BELGRANO SUR,G. CATAN,171024,2018-01-01
157,ROCA,YRIGOYEN,79851,2018-01-01
158,ROCA,SPEGAZZINI,9164,2018-01-01
159,SAN MARTIN,B. VISTA,108753,2018-01-01
160,ROCA,WILDE,48023,2018-01-01
161,BELGRANO SUR,I. CASANOVA,18492,2018-01-01
162,MITRE,TIGRE,329384,2018-01-01
163,ROCA,SOURIGUES,16967,2018-01-01
164,SAN MARTIN,CASEROS,160911,2018-01-01
165,BELGRANO SUR,FOURNIER,27231,2018-01-01
166,BELGRANO SUR,ALDO BONZI,6277,2018-01-01
167,ROCA,SAN JUSTO,250,2018-01-01
168,BELGRANO SUR,ILLIA,14237,2018-01-01
169,SAN MARTIN,CHACARITA,74324,2018-01-01
170,ROCA,VUCETICH,3,2018-01-01
171,ROCA,VILLA ESPANA,18881,2018-01-01
172,ROCA,SARANDI,34411,2018-01-01
173,BELGRANO SUR,ING. BUDGE,1,2018-01-01
174,SAN MARTIN,DERQUI,160820,2018-01-01
175,BELGRANO SUR,EVA DUARTE,35880,2018-01-01
176,BELGRANO SUR,J. INGENIEROS,3897,2018-01-01
177,SAN MARTIN,HURLINGHAM,95461,2018-01-01
178,ROCA,SANTA SOFIA,15071,2018-01-01
179,ROCA,ZEBALLOS,71140,2018-01-01
180,ROCA,VILLA ELISA,30596,2018-01-01
181,BELGRANO SUR,LA SALADA,1,2018-01-01
182,BELGRANO SUR,INDEPENDENCIA,106633,2018-01-01
183,ROCA,U. FERROVIARIA,136,2018-01-01
184,SAN MARTIN,CABRED,4816,2018-01-01
185,BELGRANO SUR,SAENZ,129214,2018-01-01
186,MITRE,MATHEU,1029,2018-01-01
187,ROCA,BERAZATEGUI,205091,2018-01-01
188,MITRE,MARTINEZ,144332,2018-01-01
189,ROCA,BERNAL,69207,2018-01-01
190,MITRE,MAQ. SAVIO,744,2018-01-01
191,ROCA,BOSQUES,83485,2018-01-01
192,MITRE,MALAVER,22059,2018-01-01
193,ROCA,BRANDSEN,2443,2018-01-01
194,ROCA,BURZACO,441152,2018-01-01
195,ROCA,CALZADA,134707,2018-01-01
196,MITRE,LOS CARDALES,281,2018-01-01
197,ROCA,CANUELAS,27399,2018-01-01
198,ROCA,CHASCOMUS,9536,2018-01-01
199,MITRE,LA LUCILA,45732,2018-01-01
200,ROCA,CITY BELL,30835,2018-01-01
201,MITRE,JUAN B. JUSTO,11846,2018-01-01
202,ROCA,CLAYPOLE,248356,2018-01-01
203,MITRE,JOSE LEON SUAREZ,226882,2018-01-01
204,ROCA,CONSTITUCION,3850549,2018-01-01
205,MITRE,GARIN,394,2018-01-01
206,MITRE,FLORIDA,14349,2018-01-01
207,ROCA,BANFIELD,482772,2018-01-01
208,ROCA,DARIO Y MAXI,228105,2018-01-01
209,MITRE,MIGUELETES,10154,2018-01-01
210,MITRE,MITRE,58107,2018-01-01
211,MITRE,SAN ISIDRO,257746,2018-01-01
212,MITRE,URQUIZA,194373,2018-01-01
213,MITRE,SAN FERNANDO,67553,2018-01-01
214,MITRE,V. BALLESTER,124306,2018-01-01
215,MITRE,SAN ANDRES,21664,2018-01-01
216,MITRE,VICENTE LOPEZ,86358,2018-01-01
217,MITRE,SAAVEDRA,34400,2018-01-01
218,MITRE,VICTORIA ELECT,59135,2018-01-01
219,MITRE,VIRREYES,107785,2018-01-01
220,MITRE,RIVADAVIA,67882,2018-01-01
221,MITRE,ZARATE,1171,2018-01-01
222,MITRE,RETIRO (TIGRE),703313,2018-01-01
223,MITRE,RETIRO (SUAREZ-MITRE),610939,2018-01-01
224,ROCA,A. DE ELIA,45,2018-01-01
225,MITRE,PUEYRREDON,50293,2018-01-01
226,ROCA,A. PETION,4946,2018-01-01
227,ROCA,A.KORN,204521,2018-01-01
228,MITRE,OLIVOS,57037,2018-01-01
229,ROCA,ADROGUE,229322,2018-01-01
230,MITRE,NUNEZ,80899,2018-01-01
231,ROCA,ALTAMIRANO,1,2018-01-01
232,ROCA,ARDIGO,109570,2018-01-01
233,ROCA,MONTE GRANDE,493318,2018-01-01
234,MITRE,ESCOBAR,3406,2018-01-01
235,ROCA,EL JAGUEL,173079,2018-01-01
236,ROCA,KLOOSTERMAN,244,2018-01-01
237,MITRE,BELGRANO R.,139193,2018-01-01
238,ROCA,KM. 33,9,2018-01-01
239,ROCA,KM. 34,11,2018-01-01
240,MITRE,BELGRANO C.,341671,2018-01-01
241,MITRE,BECCAR,49799,2018-01-01
242,ROCA,L. DE ZAMORA,979112,2018-01-01
243,ROCA,L. GUILLON,110420,2018-01-01
244,MITRE,ACASSUSO,45371,2018-01-01
245,MITRE,3 DE FEBRERO,30416,2018-01-01
246,ROCA,LA PLATA,168304,2018-01-01
247,ROCA,LANUS,770324,2018-01-01
248,BELGRANO SUR,VILLEGAS,5895,2018-01-01
249,ROCA,LEVENE,186,2018-01-01
250,BELGRANO SUR,V.LUGANO,62652,2018-01-01
251,BELGRANO SUR,V. SOLDATI,23328,2018-01-01
252,BELGRANO SUR,V. MADERO,55854,2018-01-01
253,ROCA,LLAVALLOL,69851,2018-01-01
254,ROCA,LONGCHAMPS,390856,2018-01-01
255,ROCA,MAXIMO PAZ,10308,2018-01-01
256,BELGRANO SUR,TAPIALES,27896,2018-01-01
257,ROCA,JUAN XXIII,12,2018-01-01
258,ROCA,DON BOSCO,24806,2018-01-01
259,MITRE,BENAVIDEZ,490,2018-01-01
260,MITRE,CAPILLA DEL SENOR,11,2018-01-01
261,MITRE,EL TALAR,9,2018-01-01
262,MITRE,DRAGO,26907,2018-01-01
